Date,OHDATA.HospitalizedCurrently,OHDATA.OnVentilatorCurrently
2020-12-9,5198,747
2020-12-10,5110,760
2020-12-11,5091,767
2020-12-12,5076,760
2020-12-13,5152,807
2020-12-14,5157,827
2020-12-15,5296,863
2020-12-16,5143,845
2020-12-17,5018,838
2020-12-18,4940,817
2020-12-19,4797,797
2020-12-20,4758,792
2020-12-21,4758,792
2020-12-22,4829,742
2020-12-23,4694,708
2020-12-24,4494,683
2020-12-25,4494,683
2020-12-26,4298,694
2020-12-27,4371,731
2020-12-28,4511,729
2020-12-29,4516,706
2020-12-30,4409,693
2020-12-31,4367,722
2021-1-1,4367,722
2021-1-2,4102,696
2021-1-3,4237,684
2021-1-4,4405,691
2021-1-5,4446,670
2021-1-6,4319,649
2021-1-7,4180,636
2021-1-8,4066,645
2021-1-9,4007,618
2021-1-10,4236,632
2021-1-11,4056,607
2021-1-12,4010,638
2021-1-13,3923,636
2021-1-14,3789,618
2021-1-15,3793,646
2021-1-16,3742,627
2021-1-17,3686,622
2021-1-18,3765,610
2021-1-19,3643,573
2021-1-20,3566,562
2021-1-21,3406,575
2021-1-22,3270,563
2021-1-23,3117,536
2021-1-24,2993,532
2021-1-25,3037,505
2021-1-26,2964,486
2021-1-27,2944,482
2021-1-28,2829,469
2021-1-29,2706,451
2021-1-30,2506,424
2021-1-31,2441,445
2021-2-1,2521,454
2021-2-2,2488,426
2021-2-3,2379,415
2021-2-4,2252,395
2021-2-5,2170,377
2021-2-6,2030,348
2021-2-7,1978,339
2021-2-8,2012,351
2021-2-9,1974,340
2021-2-10,1922,330
2021-2-11,1862,321
2021-2-12,1799,307
2021-2-13,1703,282
2021-2-14,1657,285
2021-2-15,1633,306
2021-2-16,1566,303
2021-2-17,1539,299
2021-2-18,1516,283
2021-2-19,1493,270
2021-2-20,1454,239
2021-2-21,1434,231
2021-2-22,1374,250
2021-2-23,1359,242
2021-2-24,1338,236
2021-2-25,1262,215
2021-2-26,1235,214
2021-2-27,1204,201
2021-2-28,1149,203
2021-3-1,1181,224
2021-3-2,1131,207
2021-3-3,1081,195
2021-3-4,1009,196
2021-3-5,919,185
2021-3-6,922,188
2021-3-7,820,171
