Date,MDDATA.HospitalizedCurrently,MDDATA.OnVentilatorCurrently
2020-12-10,1720,0
2020-12-11,1729,0
2020-12-12,1719,0
2020-12-13,1679,0
2020-12-14,1742,0
2020-12-15,1799,0
2020-12-16,1762,0
2020-12-17,1702,0
2020-12-18,1686,0
2020-12-19,1635,0
2020-12-20,1662,0
2020-12-21,1676,0
2020-12-22,1717,0
2020-12-23,1776,0
2020-12-24,1760,0
2020-12-25,1721,0
2020-12-26,1685,0
2020-12-27,1692,0
2020-12-28,1738,0
2020-12-29,1725,0
2020-12-30,1756,0
2020-12-31,1773,0
2021-1-1,1734,0
2021-1-2,1692,0
2021-1-3,1709,0
2021-1-4,1751,0
2021-1-5,1771,0
2021-1-6,1862,0
2021-1-7,1834,0
2021-1-8,1885,0
2021-1-9,1877,0
2021-1-10,1950,0
2021-1-11,1957,0
2021-1-12,1952,0
2021-1-13,1929,0
2021-1-14,1843,0
2021-1-15,1848,0
2021-1-16,1821,0
2021-1-17,1823,0
2021-1-18,1850,0
2021-1-19,1875,0
2021-1-20,1858,0
2021-1-21,1812,0
2021-1-22,1768,0
2021-1-23,1717,0
2021-1-24,1668,0
2021-1-25,1669,0
2021-1-26,1642,0
2021-1-27,1647,0
2021-1-28,1636,0
2021-1-29,1616,0
2021-1-30,1560,0
2021-1-31,1471,0
2021-2-1,1437,0
2021-2-2,1467,0
2021-2-3,1485,0
2021-2-4,1426,0
2021-2-5,1444,0
2021-2-6,1419,0
2021-2-7,1402,0
2021-2-8,1413,0
2021-2-9,1377,0
2021-2-10,1282,0
2021-2-11,1272,0
2021-2-12,1225,0
2021-2-13,1192,0
2021-2-14,1166,0
2021-2-15,1113,0
2021-2-16,1110,0
2021-2-17,1096,0
2021-2-18,1048,0
2021-2-19,1016,0
2021-2-20,1049,0
2021-2-21,973,0
2021-2-22,992,0
2021-2-23,978,0
2021-2-24,960,0
2021-2-25,952,0
2021-2-26,943,0
2021-2-27,892,0
2021-2-28,868,0
2021-3-1,904,0
2021-3-2,896,0
2021-3-3,863,0
2021-3-4,856,0
2021-3-5,849,0
2021-3-6,830,0
2021-3-7,818,0
