Date,NCDATA.HospitalizedCurrently,NCDATA.OnVentilatorCurrently
2020-12-6,2191,0
2020-12-7,2240,0
2020-12-8,2373,0
2020-12-9,2440,0
2020-12-10,2444,0
2020-12-11,2514,0
2020-12-12,2577,0
2020-12-13,2520,0
2020-12-14,2553,0
2020-12-15,2735,0
2020-12-16,2811,0
2020-12-17,2804,0
2020-12-18,2824,0
2020-12-19,2846,0
2020-12-20,2748,0
2020-12-21,2817,0
2020-12-22,3001,0
2020-12-23,3043,0
2020-12-24,3043,0
2020-12-25,3043,0
2020-12-26,3023,0
2020-12-27,3123,0
2020-12-28,3192,0
2020-12-29,3377,0
2020-12-30,3339,0
2020-12-31,3472,0
2021-1-1,3472,0
2021-1-2,3479,0
2021-1-3,3576,0
2021-1-4,3635,0
2021-1-5,3781,0
2021-1-6,3893,0
2021-1-7,3960,0
2021-1-8,3960,0
2021-1-9,3871,0
2021-1-10,3774,0
2021-1-11,3843,0
2021-1-12,3940,0
2021-1-13,3951,0
2021-1-14,3990,0
2021-1-15,3916,0
2021-1-16,3895,0
2021-1-17,3862,0
2021-1-18,3862,0
2021-1-19,3881,0
2021-1-20,3740,0
2021-1-21,3666,0
2021-1-22,3512,0
2021-1-23,3416,0
2021-1-24,3303,0
2021-1-25,3287,0
2021-1-26,3368,0
2021-1-27,3305,0
2021-1-28,3238,0
2021-1-29,3048,0
2021-1-30,2883,0
2021-1-31,2782,0
2021-2-1,2781,0
2021-2-2,2741,0
2021-2-3,2706,0
2021-2-4,2630,0
2021-2-5,2523,0
2021-2-6,2468,0
2021-2-7,2378,0
2021-2-8,2339,0
2021-2-9,2374,0
2021-2-10,2291,0
2021-2-11,2185,0
2021-2-12,2151,0
2021-2-13,2101,0
2021-2-14,1989,0
2021-2-15,1941,0
2021-2-16,1958,0
2021-2-17,1954,0
2021-2-18,1892,0
2021-2-19,1780,0
2021-2-20,1708,0
2021-2-21,1647,0
2021-2-22,1567,0
2021-2-23,1563,0
2021-2-24,1530,0
2021-2-25,1498,0
2021-2-26,1465,0
2021-2-27,1414,0
2021-2-28,1414,0
2021-3-1,1319,0
2021-3-2,1353,0
2021-3-3,1303,0
2021-3-4,1290,0
2021-3-5,1226,0
2021-3-6,1179,0
2021-3-7,1179,0
