Date,TNDATA.Death,TNDATA.DeathConfirmed
2020-12-7,2755,333
2020-12-8,2839,332
2020-12-9,2890,556
2020-12-10,2851,349
2020-12-11,2890,342
2020-12-12,2919,356
2020-12-13,2906,359
2020-12-14,2986,368
2020-12-15,3062,366
2020-12-16,3100,378
2020-12-17,3165,399
2020-12-18,3099,400
2020-12-19,3099,400
2020-12-20,2978,398
2020-12-21,2995,415
2020-12-22,3112,426
2020-12-23,3162,438
2020-12-24,3173,471
2020-12-25,3092,451
2020-12-26,3002,460
2020-12-27,3023,462
2020-12-28,3151,485
2020-12-29,3274,455
2020-12-30,3425,466
2020-12-31,3429,475
2021-1-1,3378,471
2021-1-2,3303,453
2021-1-3,3371,467
2021-1-4,3407,471
2021-1-5,3465,469
2021-1-6,3554,478
2021-1-7,3533,474
2021-1-8,3482,474
2021-1-9,3416,487
2021-1-10,3263,459
2021-1-11,3249,447
2021-1-12,3230,432
2021-1-13,3193,445
2021-1-14,3150,436
2021-1-15,3034,402
2021-1-16,2972,388
2021-1-17,2856,411
2021-1-18,2810,402
2021-1-19,2775,404
2021-1-20,2813,418
2021-1-21,2673,412
2021-1-22,2514,398
2021-1-23,2396,386
2021-1-24,2269,376
2021-1-25,2196,355
2021-1-26,2166,359
2021-1-27,2167,347
2021-1-28,2009,315
2021-1-29,1960,306
2021-1-30,1806,274
2021-1-31,1699,254
2021-2-1,1682,253
2021-2-2,1687,277
2021-2-3,1638,266
2021-2-4,1562,236
2021-2-5,1558,235
2021-2-6,1514,228
2021-2-7,1439,211
2021-2-8,1431,208
2021-2-9,1404,220
2021-2-10,1419,214
2021-2-11,1385,199
2021-2-12,1332,184
2021-2-13,1285,181
2021-2-14,1246,182
2021-2-15,1221,180
2021-2-16,1219,173
2021-2-17,1245,173
2021-2-18,1250,163
2021-2-19,1095,150
2021-2-20,1123,165
2021-2-21,1128,171
2021-2-22,1128,167
2021-2-23,1129,158
2021-2-24,1142,148
2021-2-25,1139,137
2021-2-26,1432,134
2021-2-27,1038,124
2021-2-28,1004,134
2021-3-1,1009,127
2021-3-2,991,133
2021-3-3,1033,140
2021-3-4,970,127
2021-3-5,939,135
2021-3-6,879,127
2021-3-7,851,127
