Date,NVDATA.Death,NVDATA.DeathConfirmed
2020-12-13,1823,240
2020-12-14,2025,263
2020-12-15,1979,258
2020-12-16,1550,247
2020-12-17,1975,282
2020-12-18,1951,286
2020-12-19,1924,286
2020-12-20,1924,286
2020-12-21,1996,297
2020-12-22,1996,302
2020-12-23,2001,312
2020-12-24,1908,287
2020-12-25,1885,298
2020-12-26,1885,298
2020-12-27,1885,298
2020-12-28,1899,283
2020-12-29,1929,282
2020-12-30,1988,282
2020-12-31,1927,278
2021-1-1,1871,273
2021-1-2,1871,273
2021-1-3,1871,273
2021-1-4,1879,268
2021-1-5,1867,278
2021-1-6,1919,280
2021-1-7,1918,280
2021-1-8,1874,263
2021-1-9,1758,277
2021-1-10,1758,277
2021-1-11,1777,279
2021-1-12,1827,292
2021-1-13,1784,280
2021-1-14,1746,288
2021-1-15,1676,287
2021-1-16,1702,285
2021-1-17,1702,285
2021-1-18,1702,285
2021-1-19,1716,289
2021-1-20,1727,287
2021-1-21,1640,273
2021-1-22,1549,256
2021-1-23,1499,258
2021-1-24,1499,258
2021-1-25,1441,247
2021-1-26,1462,243
2021-1-27,1400,235
2021-1-28,1322,236
2021-1-29,1290,221
2021-1-30,1242,203
2021-1-31,1242,203
2021-2-1,1247,184
2021-2-2,1209,182
2021-2-3,1145,159
2021-2-4,1121,153
2021-2-5,1072,155
2021-2-6,983,151
2021-2-7,983,151
2021-2-8,964,147
2021-2-9,971,151
2021-2-10,922,139
2021-2-11,879,147
2021-2-12,847,137
2021-2-13,827,127
2021-2-14,827,127
2021-2-15,755,117
2021-2-16,773,113
2021-2-17,740,110
2021-2-18,698,111
2021-2-19,670,106
2021-2-20,639,103
2021-2-21,639,103
2021-2-22,580,87
2021-2-23,581,84
2021-2-24,534,78
2021-2-25,532,71
2021-2-26,509,72
2021-2-27,491,67
2021-2-28,491,67
2021-3-1,464,56
2021-3-2,459,53
2021-3-3,440,53
2021-3-4,407,47
2021-3-5,393,49
2021-3-6,399,48
2021-3-7,399,48
