Date,KSDATA.Death,KSDATA.DeathConfirmed
2020-12-18,688,92
2020-12-19,688,92
2020-12-20,688,92
2020-12-21,630,92
2020-12-22,630,92
2020-12-23,1014,119
2020-12-24,1014,119
2020-12-25,1014,119
2020-12-26,1014,119
2020-12-27,1014,119
2020-12-28,554,68
2020-12-29,554,68
2020-12-30,767,99
2020-12-31,767,99
2021-1-1,825,97
2021-1-2,825,97
2021-1-3,825,97
2021-1-4,662,65
2021-1-5,662,65
2021-1-6,838,70
2021-1-7,838,70
2021-1-8,869,61
2021-1-9,869,61
2021-1-10,869,61
2021-1-11,590,48
2021-1-12,590,48
2021-1-13,892,65
2021-1-14,892,65
2021-1-15,776,67
2021-1-16,776,67
2021-1-17,776,67
2021-1-18,599,61
2021-1-19,599,61
2021-1-20,708,66
2021-1-21,708,66
2021-1-22,708,66
2021-1-23,708,66
2021-1-24,708,66
2021-1-25,708,66
2021-1-26,708,66
2021-1-27,649,74
2021-1-28,649,74
2021-1-29,550,65
2021-1-30,550,65
2021-1-31,550,65
2021-2-1,381,48
2021-2-2,381,48
2021-2-3,526,52
2021-2-4,526,52
2021-2-5,526,52
2021-2-6,526,52
2021-2-7,526,52
2021-2-8,319,39
2021-2-9,319,39
2021-2-10,377,41
2021-2-11,377,41
2021-2-12,348,42
2021-2-13,348,42
2021-2-14,348,42
2021-2-15,279,38
2021-2-16,279,38
2021-2-17,300,34
2021-2-18,300,34
2021-2-19,290,34
2021-2-20,290,34
2021-2-21,290,34
2021-2-22,214,22
2021-2-23,214,22
2021-2-24,214,22
2021-2-25,214,22
2021-2-26,258,29
2021-2-27,258,29
2021-2-28,258,29
2021-3-1,165,16
2021-3-2,165,16
2021-3-3,203,23
2021-3-4,203,23
2021-3-5,235,22
2021-3-6,235,22
2021-3-7,235,22
