Date,SCDATA.Death,SCDATA.DeathConfirmed
2020-12-11,1234,124
2020-12-12,1250,122
2020-12-13,1278,129
2020-12-14,1276,140
2020-12-15,1046,111
2020-12-16,1046,111
2020-12-17,1524,113
2020-12-18,1460,143
2020-12-19,1461,148
2020-12-20,1471,159
2020-12-21,1523,165
2020-12-22,1586,170
2020-12-23,1671,142
2020-12-24,1766,177
2020-12-25,1766,177
2020-12-26,1758,176
2020-12-27,1780,177
2020-12-28,1867,175
2020-12-29,1954,189
2020-12-30,2001,198
2020-12-31,2025,199
2021-1-1,2025,199
2021-1-2,1994,214
2021-1-3,2072,217
2021-1-4,2155,215
2021-1-5,2344,241
2021-1-6,2424,247
2021-1-7,2425,245
2021-1-8,2396,251
2021-1-9,2383,243
2021-1-10,2374,250
2021-1-11,2387,250
2021-1-12,2453,270
2021-1-13,2466,277
2021-1-14,2427,290
2021-1-15,2424,289
2021-1-16,2387,291
2021-1-17,2375,316
2021-1-18,2342,317
2021-1-19,2353,313
2021-1-20,2386,307
2021-1-21,2345,311
2021-1-22,2293,311
2021-1-23,2224,283
2021-1-24,2189,274
2021-1-25,2201,262
2021-1-26,2173,279
2021-1-27,2140,281
2021-1-28,2086,286
2021-1-29,1986,278
2021-1-30,1927,261
2021-1-31,1841,261
2021-2-1,1842,240
2021-2-2,1832,245
2021-2-3,1760,238
2021-2-4,1677,239
2021-2-5,1637,232
2021-2-6,1600,224
2021-2-7,1526,224
2021-2-8,1517,211
2021-2-9,1465,208
2021-2-10,1439,200
2021-2-11,1391,195
2021-2-12,1375,174
2021-2-13,1302,174
2021-2-14,1269,184
2021-2-15,1222,173
2021-2-16,1230,167
2021-2-17,1205,162
2021-2-18,1137,152
2021-2-19,1122,151
2021-2-20,1086,144
2021-2-21,1013,144
2021-2-22,993,135
2021-2-23,977,126
2021-2-24,968,129
2021-2-25,939,128
2021-2-26,916,113
2021-2-27,865,109
2021-2-28,769,97
2021-3-1,725,88
2021-3-2,706,86
2021-3-3,706,86
2021-3-4,734,91
2021-3-5,664,88
2021-3-6,623,86
2021-3-7,579,83
