Date,ORDATA.HospitalizedCurrently,ORDATA.OnVentilatorCurrently
2020-12-16,599,67
2020-12-17,620,63
2020-12-18,587,62
2020-12-19,587,62
2020-12-20,602,66
2020-12-21,602,66
2020-12-22,595,59
2020-12-23,579,67
2020-12-24,579,67
2020-12-25,530,59
2020-12-26,530,59
2020-12-27,530,59
2020-12-28,530,59
2020-12-29,563,62
2020-12-30,570,60
2020-12-31,568,61
2021-1-1,524,60
2021-1-2,524,60
2021-1-3,524,60
2021-1-4,524,60
2021-1-5,520,55
2021-1-6,540,55
2021-1-7,530,53
2021-1-8,530,53
2021-1-9,498,54
2021-1-10,498,54
2021-1-11,498,54
2021-1-12,453,49
2021-1-13,447,50
2021-1-14,470,53
2021-1-15,444,58
2021-1-16,418,59
2021-1-17,418,59
2021-1-18,418,59
2021-1-19,418,59
2021-1-20,379,55
2021-1-21,387,50
2021-1-22,365,50
2021-1-23,342,41
2021-1-24,342,41
2021-1-25,342,41
2021-1-26,359,38
2021-1-27,338,34
2021-1-28,328,37
2021-1-29,321,32
2021-1-30,320,35
2021-1-31,320,35
2021-2-1,320,35
2021-2-2,336,32
2021-2-3,291,35
2021-2-4,299,29
2021-2-5,287,27
2021-2-6,263,28
2021-2-7,263,28
2021-2-8,263,28
2021-2-9,244,29
2021-2-10,243,31
2021-2-11,241,30
2021-2-12,236,27
2021-2-13,226,27
2021-2-14,226,27
2021-2-15,226,27
2021-2-16,226,27
2021-2-17,231,26
2021-2-18,220,24
2021-2-19,199,28
2021-2-20,206,24
2021-2-21,206,24
2021-2-22,206,24
2021-2-23,191,23
2021-2-24,191,24
2021-2-25,191,24
2021-2-26,181,13
2021-2-27,177,16
2021-2-28,177,16
2021-3-1,177,16
2021-3-2,158,13
2021-3-3,184,11
2021-3-4,165,12
2021-3-5,154,14
2021-3-6,158,12
2021-3-7,158,12
