Date,NHDATA.HospitalizedCurrently,NHDATA.OnVentilatorCurrently
2020-12-16,286,0
2020-12-17,284,0
2020-12-18,273,0
2020-12-19,258,0
2020-12-20,261,0
2020-12-21,278,0
2020-12-22,297,0
2020-12-23,305,0
2020-12-24,298,0
2020-12-25,298,0
2020-12-26,277,0
2020-12-27,270,0
2020-12-28,269,0
2020-12-29,295,0
2020-12-30,306,0
2020-12-31,317,0
2021-1-1,317,0
2021-1-2,335,0
2021-1-3,325,0
2021-1-4,319,0
2021-1-5,305,0
2021-1-6,301,0
2021-1-7,314,0
2021-1-8,297,0
2021-1-9,268,0
2021-1-10,262,0
2021-1-11,267,0
2021-1-12,287,0
2021-1-13,275,0
2021-1-14,270,0
2021-1-15,255,0
2021-1-16,252,0
2021-1-17,243,0
2021-1-18,237,0
2021-1-19,254,0
2021-1-20,254,0
2021-1-21,240,0
2021-1-22,249,0
2021-1-23,229,0
2021-1-24,239,0
2021-1-25,230,0
2021-1-26,213,0
2021-1-27,223,0
2021-1-28,222,0
2021-1-29,214,0
2021-1-30,217,0
2021-1-31,200,0
2021-2-1,193,0
2021-2-2,202,0
2021-2-3,207,0
2021-2-4,209,0
2021-2-5,198,0
2021-2-6,183,0
2021-2-7,186,0
2021-2-8,179,0
2021-2-9,159,0
2021-2-10,142,0
2021-2-11,138,0
2021-2-12,131,0
2021-2-13,128,0
2021-2-14,126,0
2021-2-15,125,0
2021-2-16,119,0
2021-2-17,126,0
2021-2-18,126,0
2021-2-19,116,0
2021-2-20,109,0
2021-2-21,109,0
2021-2-22,109,0
2021-2-23,112,0
2021-2-24,103,0
2021-2-25,97,0
2021-2-26,95,0
2021-2-27,93,0
2021-2-28,87,0
2021-3-1,90,0
2021-3-2,88,0
2021-3-3,89,0
2021-3-4,92,0
2021-3-5,90,0
2021-3-6,90,0
2021-3-7,68,0
