Date,HIDATA.HospitalizedCurrently,HIDATA.OnVentilatorCurrently
2020-12-16,60,18
2020-12-17,53,7
2020-12-18,52,7
2020-12-19,52,7
2020-12-20,52,7
2020-12-21,49,8
2020-12-22,49,8
2020-12-23,67,11
2020-12-24,67,11
2020-12-25,64,10
2020-12-26,64,10
2020-12-27,64,10
2020-12-28,125,18
2020-12-29,89,11
2020-12-30,81,12
2020-12-31,97,18
2021-1-1,86,9
2021-1-2,86,9
2021-1-3,86,9
2021-1-4,86,9
2021-1-5,96,15
2021-1-6,123,16
2021-1-7,121,24
2021-1-8,129,20
2021-1-9,129,20
2021-1-10,129,20
2021-1-11,126,21
2021-1-12,124,22
2021-1-13,114,22
2021-1-14,104,19
2021-1-15,108,18
2021-1-16,108,18
2021-1-17,108,18
2021-1-18,108,18
2021-1-19,55,10
2021-1-20,102,15
2021-1-21,100,21
2021-1-22,84,18
2021-1-23,84,18
2021-1-24,84,18
2021-1-25,89,17
2021-1-26,82,18
2021-1-27,80,25
2021-1-28,71,16
2021-1-29,71,16
2021-1-30,73,15
2021-1-31,73,15
2021-2-1,63,12
2021-2-2,61,15
2021-2-3,55,16
2021-2-4,57,12
2021-2-5,64,13
2021-2-6,64,13
2021-2-7,64,13
2021-2-8,82,16
2021-2-9,63,12
2021-2-10,58,17
2021-2-11,49,12
2021-2-12,40,10
2021-2-13,40,10
2021-2-14,40,10
2021-2-15,40,10
2021-2-16,38,9
2021-2-17,39,8
2021-2-18,39,8
2021-2-19,42,7
2021-2-20,42,7
2021-2-21,42,7
2021-2-22,54,23
2021-2-23,37,6
2021-2-24,37,6
2021-2-25,34,5
2021-2-26,30,3
2021-2-27,30,3
2021-2-28,30,3
2021-3-1,31,3
2021-3-2,31,3
2021-3-3,26,3
2021-3-4,28,3
2021-3-5,28,3
2021-3-6,27,3
2021-3-7,27,3
