Date,WYDATA.HospitalizedCurrently,WYDATA.OnVentilatorCurrently
2020-12-13,184,0
2020-12-14,184,0
2020-12-15,178,0
2020-12-16,173,0
2020-12-17,169,0
2020-12-18,157,0
2020-12-19,157,0
2020-12-20,157,0
2020-12-21,162,0
2020-12-22,161,0
2020-12-23,161,0
2020-12-24,161,0
2020-12-25,146,0
2020-12-26,146,0
2020-12-27,146,0
2020-12-28,115,0
2020-12-29,119,0
2020-12-30,113,0
2020-12-31,113,0
2021-1-1,113,0
2021-1-2,95,0
2021-1-3,99,0
2021-1-4,114,0
2021-1-5,114,0
2021-1-6,112,0
2021-1-7,112,0
2021-1-8,108,0
2021-1-9,108,0
2021-1-10,108,0
2021-1-11,98,0
2021-1-12,106,0
2021-1-13,82,0
2021-1-14,89,0
2021-1-15,89,0
2021-1-16,86,0
2021-1-17,84,0
2021-1-18,85,0
2021-1-19,88,0
2021-1-20,81,0
2021-1-21,84,0
2021-1-22,75,0
2021-1-23,75,0
2021-1-24,65,0
2021-1-25,66,0
2021-1-26,71,0
2021-1-27,70,0
2021-1-28,64,0
2021-1-29,54,0
2021-1-30,54,0
2021-1-31,54,0
2021-2-1,53,0
2021-2-2,53,0
2021-2-3,47,0
2021-2-4,48,0
2021-2-5,44,0
2021-2-6,44,0
2021-2-7,44,0
2021-2-8,41,0
2021-2-9,32,0
2021-2-10,45,0
2021-2-11,41,0
2021-2-12,44,0
2021-2-13,44,0
2021-2-14,44,0
2021-2-15,44,0
2021-2-16,34,0
2021-2-17,32,0
2021-2-18,31,0
2021-2-19,31,0
2021-2-20,31,0
2021-2-21,31,0
2021-2-22,21,0
2021-2-23,21,0
2021-2-24,25,0
2021-2-25,20,0
2021-2-26,25,0
2021-2-27,25,0
2021-2-28,25,0
2021-3-1,28,0
2021-3-2,24,0
2021-3-3,24,0
2021-3-4,23,0
2021-3-5,21,0
2021-3-6,21,0
2021-3-7,21,0
