Date,KYDATA.HospitalizedCurrently,KYDATA.OnVentilatorCurrently
2020-12-14,1712,243
2020-12-15,1788,246
2020-12-16,1793,239
2020-12-17,1817,254
2020-12-18,1712,227
2020-12-19,1655,253
2020-12-20,1607,226
2020-12-21,1580,231
2020-12-22,1631,223
2020-12-23,1644,222
2020-12-24,1644,222
2020-12-25,1644,222
2020-12-26,1511,237
2020-12-27,1504,217
2020-12-28,1552,217
2020-12-29,1635,211
2020-12-30,1673,234
2020-12-31,1673,234
2021-1-1,1673,234
2021-1-2,1635,211
2021-1-3,1677,196
2021-1-4,1737,216
2021-1-5,1760,215
2021-1-6,1778,244
2021-1-7,1744,217
2021-1-8,1748,217
2021-1-9,1752,201
2021-1-10,1713,212
2021-1-11,1709,207
2021-1-12,1733,205
2021-1-13,1702,225
2021-1-14,1661,196
2021-1-15,1644,203
2021-1-16,1631,214
2021-1-17,1631,214
2021-1-18,1587,208
2021-1-19,1633,208
2021-1-20,1678,205
2021-1-21,1604,209
2021-1-22,1561,195
2021-1-23,1604,209
2021-1-24,1540,218
2021-1-25,1539,203
2021-1-26,1566,228
2021-1-27,1597,225
2021-1-28,1561,205
2021-1-29,1505,199
2021-1-30,1415,185
2021-1-31,1327,173
2021-2-1,1314,178
2021-2-2,1335,172
2021-2-3,1340,171
2021-2-4,1340,171
2021-2-5,1318,167
2021-2-6,1294,164
2021-2-7,1235,140
2021-2-8,1163,142
2021-2-9,1204,148
2021-2-10,1191,169
2021-2-11,1142,156
2021-2-12,1063,154
2021-2-13,1059,143
2021-2-14,1019,147
2021-2-15,969,132
2021-2-16,935,133
2021-2-17,934,128
2021-2-18,935,130
2021-2-19,923,131
2021-2-20,921,125
2021-2-21,902,148
2021-2-22,870,119
2021-2-23,894,121
2021-2-24,883,112
2021-2-25,843,122
2021-2-26,818,105
2021-2-27,765,87
2021-2-28,732,118
2021-3-1,719,82
2021-3-2,684,82
2021-3-3,680,79
2021-3-4,645,91
2021-3-5,606,76
2021-3-6,591,72
2021-3-7,558,82
