Date,MNDATA.Death,MNDATA.DeathConfirmed
2020-12-15,1309,0
2020-12-16,1277,0
2020-12-17,1222,0
2020-12-18,1144,0
2020-12-19,1144,0
2020-12-20,1144,0
2020-12-21,1040,0
2020-12-22,1060,0
2020-12-23,1073,0
2020-12-24,1048,0
2020-12-25,1048,0
2020-12-26,1048,0
2020-12-27,1048,0
2020-12-28,878,0
2020-12-29,966,0
2020-12-30,926,0
2020-12-31,895,0
2021-1-1,895,0
2021-1-2,895,0
2021-1-3,895,0
2021-1-4,810,0
2021-1-5,842,0
2021-1-6,817,0
2021-1-7,787,0
2021-1-8,759,0
2021-1-9,759,0
2021-1-10,759,0
2021-1-11,686,0
2021-1-12,692,0
2021-1-13,665,0
2021-1-14,645,0
2021-1-15,612,0
2021-1-16,612,0
2021-1-17,612,0
2021-1-18,612,0
2021-1-19,584,0
2021-1-20,570,0
2021-1-21,558,0
2021-1-22,558,0
2021-1-23,543,0
2021-1-24,543,0
2021-1-25,543,0
2021-1-26,496,0
2021-1-27,477,0
2021-1-28,477,0
2021-1-29,450,0
2021-1-30,450,0
2021-1-31,450,0
2021-2-1,387,0
2021-2-2,394,0
2021-2-3,379,0
2021-2-4,369,0
2021-2-5,362,0
2021-2-6,362,0
2021-2-7,362,0
2021-2-8,330,0
2021-2-9,321,0
2021-2-10,317,0
2021-2-11,320,0
2021-2-12,326,0
2021-2-13,326,0
2021-2-14,326,0
2021-2-15,326,0
2021-2-16,315,0
2021-2-17,314,0
2021-2-18,287,0
2021-2-19,282,0
2021-2-20,282,0
2021-2-21,282,0
2021-2-22,235,0
2021-2-23,269,0
2021-2-24,292,0
2021-2-25,265,0
2021-2-26,263,0
2021-2-27,263,0
2021-2-28,263,0
2021-3-1,230,0
2021-3-2,243,0
2021-3-3,243,0
2021-3-4,229,0
2021-3-5,224,0
2021-3-6,224,0
2021-3-7,224,0
